id,co2_treat,inoc_treat,nfert_treat,pot_number,sow_date,chamber_start,shelf_start,germ_date,thin_date,harvest_date,notes,,
E_Y_0_1,E,Y,0,1,6/17/22,6,top,6/23/22,7/2/22,8/6/22,,,
E_Y_0_2,E,Y,0,2,6/17/22,5,top,6/21/22,7/2/22,8/6/22,,,
E_Y_0_3,E,Y,0,3,6/17/22,3,top,6/22/22,7/2/22,8/6/22,,,
E_Y_0_4,E,Y,0,4,6/17/22,5,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_35_5,E,Y,35,5,6/17/22,2,top,6/22/22,7/2/22,8/6/22,,,
E_Y_35_6,E,Y,35,6,6/17/22,6,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_35_7,E,Y,35,7,6/17/22,4,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_35_8,E,Y,35,8,6/17/22,4,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_70_9,E,Y,70,9,6/17/22,3,top,6/23/22,7/2/22,8/6/22,,,
E_Y_70_10,E,Y,70,10,6/17/22,6,top,6/22/22,7/2/22,8/6/22,,,
E_Y_70_11,E,Y,70,11,6/17/22,2,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_70_12,E,Y,70,12,6/17/22,5,top,6/22/22,7/2/22,8/6/22,,,
E_Y_105_13,E,Y,105,13,6/17/22,4,top,6/21/22,7/2/22,8/6/22,,,
E_Y_105_14,E,Y,105,14,6/17/22,5,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_105_15,E,Y,105,15,6/17/22,6,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_105_16,E,Y,105,16,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
E_Y_140_17,E,Y,140,17,6/17/22,1,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_140_18,E,Y,140,18,6/17/22,2,top,6/22/22,7/2/22,8/6/22,,,
E_Y_140_19,E,Y,140,19,6/17/22,3,top,6/23/22,7/2/22,8/6/22,,,
E_Y_140_20,E,Y,140,20,6/17/22,6,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_210_21,E,Y,210,21,6/17/22,5,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_210_22,E,Y,210,22,6/17/22,2,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_210_23,E,Y,210,23,6/17/22,6,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_210_24,E,Y,210,24,6/17/22,1,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_280_25,E,Y,280,25,6/17/22,5,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_280_26,E,Y,280,26,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
E_Y_280_27,E,Y,280,27,6/17/22,6,top,6/22/22,7/2/22,8/6/22,,,
E_Y_280_28,E,Y,280,28,6/17/22,2,bottom,6/22/22,7/2/22,8/6/22,,,
E_Y_350_29,E,Y,350,29,6/17/22,2,top,6/22/22,7/2/22,8/6/22,,,
E_Y_350_30,E,Y,350,30,6/17/22,1,top,6/22/22,7/2/22,8/6/22,,,
E_Y_350_31,E,Y,350,31,6/17/22,4,top,6/21/22,7/2/22,8/6/22,,,
E_Y_350_32,E,Y,350,32,6/17/22,4,top,6/22/22,7/2/22,8/6/22,,,
E_Y_630_33,E,Y,630,33,6/17/22,1,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_630_34,E,Y,630,34,6/17/22,2,bottom,6/23/22,7/2/22,8/6/22,,,
E_Y_630_35,E,Y,630,35,6/17/22,4,top,6/21/22,7/2/22,8/6/22,,,
E_Y_630_36,E,Y,630,36,6/17/22,1,bottom,6/22/22,7/2/22,8/6/22,,,
E_N_0_37,E,N,0,37,6/17/22,4,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_0_38,E,N,0,38,6/17/22,3,top,6/23/22,7/2/22,8/6/22,,,
E_N_0_39,E,N,0,39,6/17/22,2,top,6/23/22,7/2/22,8/6/22,,,
E_N_0_40,E,N,0,40,6/17/22,2,top,6/23/22,7/2/22,8/6/22,,,
E_N_35_41,E,N,35,41,6/17/22,4,top,6/23/22,7/2/22,8/6/22,,,
E_N_35_42,E,N,35,42,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
E_N_35_43,E,N,35,43,6/17/22,5,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_35_44,E,N,35,44,6/17/22,2,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_70_45,E,N,70,45,6/17/22,4,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_70_46,E,N,70,46,6/17/22,6,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_70_47,E,N,70,47,6/17/22,3,top,6/22/22,7/2/22,8/6/22,,,
E_N_70_48,E,N,70,48,6/17/22,5,top,6/23/22,7/2/22,8/6/22,,,
E_N_105_49,E,N,105,49,6/17/22,1,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_105_50,E,N,105,50,6/17/22,6,bottom,6/22/22,7/2/22,8/6/22,,,
E_N_105_51,E,N,105,51,6/17/22,5,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_105_52,E,N,105,52,6/17/22,2,bottom,6/22/22,7/2/22,8/6/22,,,
E_N_140_53,E,N,140,53,6/17/22,2,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_140_54,E,N,140,54,6/17/22,1,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_140_55,E,N,140,55,6/17/22,2,top,6/22/22,7/2/22,8/6/22,,,
E_N_140_56,E,N,140,56,6/17/22,6,top,6/23/22,7/2/22,8/6/22,,,
E_N_210_57,E,N,210,57,6/17/22,4,top,6/23/22,7/2/22,8/6/22,,,
E_N_210_58,E,N,210,58,6/17/22,6,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_210_59,E,N,210,59,6/17/22,5,top,6/23/22,7/2/22,8/6/22,,,
E_N_210_60,E,N,210,60,6/17/22,5,top,6/23/22,7/2/22,8/6/22,,,
E_N_280_61,E,N,280,61,6/17/22,6,top,6/23/22,7/2/22,8/6/22,,,
E_N_280_62,E,N,280,62,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
E_N_280_63,E,N,280,63,6/17/22,1,top,6/23/22,7/2/22,8/6/22,,,
E_N_280_64,E,N,280,64,6/17/22,3,top,6/23/22,7/2/22,8/6/22,,,
E_N_350_65,E,N,350,65,6/17/22,4,top,6/22/22,7/2/22,8/6/22,,,
E_N_350_66,E,N,350,66,6/17/22,4,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_350_67,E,N,350,67,6/17/22,3,top,6/22/22,7/2/22,8/6/22,,,
E_N_350_68,E,N,350,68,6/17/22,5,bottom,6/23/22,7/2/22,8/6/22,,,
E_N_630_69,E,N,630,69,6/17/22,6,top,6/23/22,7/2/22,8/6/22,,,
E_N_630_70,E,N,630,70,6/17/22,4,bottom,6/22/22,7/2/22,8/6/22,,,
E_N_630_71,E,N,630,71,6/17/22,5,top,6/22/22,7/2/22,8/6/22,,,
E_N_630_72,E,N,630,72,6/17/22,1,bottom,6/23/22,7/2/22,8/6/22,,,
A_Y_0_73,A,Y,0,73,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_0_74,A,Y,0,74,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_0_75,A,Y,0,75,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_0_76,A,Y,0,76,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_35_77,A,Y,35,77,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_35_78,A,Y,35,78,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_35_79,A,Y,35,79,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_35_80,A,Y,35,80,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_70_81,A,Y,70,81,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_70_82,A,Y,70,82,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_70_83,A,Y,70,83,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_70_84,A,Y,70,84,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_105_85,A,Y,105,85,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_105_86,A,Y,105,86,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_105_87,A,Y,105,87,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_105_88,A,Y,105,88,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_140_89,A,Y,140,89,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_140_90,A,Y,140,90,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_140_91,A,Y,140,91,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_140_92,A,Y,140,92,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_210_93,A,Y,210,93,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_210_94,A,Y,210,94,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_210_95,A,Y,210,95,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_210_96,A,Y,210,96,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_280_97,A,Y,280,97,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_280_98,A,Y,280,98,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_280_99,A,Y,280,99,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_280_100,A,Y,280,100,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_350_101,A,Y,350,101,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_350_102,A,Y,350,102,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_350_103,A,Y,350,103,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_350_104,A,Y,350,104,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_Y_630_105,A,Y,630,105,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_630_106,A,Y,630,106,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_630_107,A,Y,630,107,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_Y_630_108,A,Y,630,108,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_0_109,A,N,0,109,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_0_110,A,N,0,110,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_0_111,A,N,0,111,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_0_112,A,N,0,112,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_35_113,A,N,35,113,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_35_114,A,N,35,114,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_35_115,A,N,35,115,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_35_116,A,N,35,116,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_70_117,A,N,70,117,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_70_118,A,N,70,118,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_70_119,A,N,70,119,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_70_120,A,N,70,120,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_105_121,A,N,105,121,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_105_122,A,N,105,122,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_105_123,A,N,105,123,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_105_124,A,N,105,124,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_140_125,A,N,140,125,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_140_126,A,N,140,126,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_140_127,A,N,140,127,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_140_128,A,N,140,128,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_210_129,A,N,210,129,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_210_130,A,N,210,130,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_210_131,A,N,210,131,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_210_132,A,N,210,132,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_280_133,A,N,280,133,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_280_134,A,N,280,134,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_280_135,A,N,280,135,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_280_136,A,N,280,136,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_350_137,A,N,350,137,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_350_138,A,N,350,138,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_350_139,A,N,350,139,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_350_140,A,N,350,140,8/13/22,,,8/19/22,8/23/22,10/2/22,,,
A_N_630_141,A,N,630,141,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_630_142,A,N,630,142,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_630_143,A,N,630,143,8/13/22,,,8/18/22,8/23/22,10/2/22,,,
A_N_630_144,A,N,630,144,8/13/22,,,8/18/22,8/23/22,10/2/22,,,