"id","tleaf","anet","gsw","ci.ca","vcmax25","jmax25","jmax25.vcmax25","rd25","tpu"
"a_n_0_109",24.999,14.376,0.14,0.561,87.779,149.242,1.7,2.767,8.609
"a_n_0_110",25.003,1.569,0.017,0.624,5.932,15.502,2.613,-0.289,1.145
"a_n_0_111",24.986,1.832,0.027,0.714,9.801,21.273,2.17,0.68,NA
"a_n_0_112",25.025,19.113,0.215,0.605,103.735,179.573,1.731,2.522,10.673
"a_n_105_121",25.014,13.736,0.275,0.766,57.965,110.747,1.911,1.328,7.617
"a_n_105_122",25.017,12.58,0.16,0.658,67.183,120.412,1.792,2.865,7.342
"a_n_105_123",25.007,12.973,0.178,0.679,63.687,121.005,1.9,2.066,8.036
"a_n_105_124",25.021,14.446,0.248,0.728,64.523,116.118,1.8,1.921,8.007
"a_n_140_125",26.5,20.238,0.47,0.784,84.238,153.307,1.82,2.789,10.236
"a_n_140_126",25.014,20.076,0.429,0.769,83.68,151.904,1.815,1.569,NA
"a_n_140_127",25.017,10.056,0.17,0.736,49.121,91.994,1.873,2.568,6.414
"a_n_140_128",25.018,15.356,0.272,0.73,68.896,131.457,1.908,2.172,NA
"a_n_210_129",25.038,19.026,0.309,0.703,95.33,173.538,1.82,3.524,11.359
"a_n_210_130",25.05,19.739,0.448,0.781,84.205,156.506,1.859,2.354,9.847
"a_n_210_131",25.057,19.145,0.289,0.692,90.791,166.558,1.835,2.282,11.047
"a_n_210_132",25.025,17.048,0.328,0.751,78.822,144.323,1.831,2.936,9.468
"a_n_280_133",24.993,13.852,0.158,0.594,84.932,132.193,1.556,3.924,NA
"a_n_280_134",27.691,19.609,0.212,0.589,113.095,180.111,1.593,3.454,11.845
"a_n_280_135",25.046,19.372,0.298,0.69,93.844,154.607,1.647,2.778,9.827
"a_n_280_136",25.034,25.978,0.477,0.728,114.362,215.672,1.886,1.608,13.572
"a_n_35_113",25,8.35,0.15,0.752,32.525,61.813,1.9,0.177,4.526
"a_n_35_114",24.998,3.396,0.051,0.72,17.354,35.823,2.064,1.156,NA
"a_n_35_115",24.99,3.504,0.057,0.736,17.087,33.247,1.946,1.023,NA
"a_n_35_116",25.021,11.899,0.213,0.747,54.64,101.24,1.853,2.094,6.531
"a_n_350_137",25.016,12.624,0.138,0.589,71.682,124.227,1.733,2.566,NA
"a_n_350_138",25.008,16.955,0.176,0.579,103.3,166.181,1.609,3.67,9.376
"a_n_350_139",25.033,27.442,0.5,0.725,125.416,220.709,1.76,2.428,12.586
"a_n_350_140",25.019,25.814,0.367,0.659,123.621,210.819,1.705,1.697,13.1
"a_n_630_141",25.014,13.158,0.12,0.528,93.055,151.057,1.623,4.357,9.159
"a_n_630_142",25.014,17.073,0.2,0.618,91.317,152.459,1.67,2.887,9.176
"a_n_630_143",25.04,24.494,0.485,0.747,106.934,191.661,1.792,2.161,11.539
"a_n_630_144",25.024,23.373,0.344,0.676,115.909,199.472,1.721,3.061,11.916
"a_n_70_117",27.485,11.366,0.122,0.603,64.051,107.676,1.681,2.211,7.652
"a_n_70_118",25.021,18.694,0.338,0.737,84.17,144.522,1.717,2.344,8.855
"a_n_70_119",25,4.112,0.056,0.691,18.701,39.027,2.087,0.468,NA
"a_n_70_120",25.011,9.351,0.185,0.77,43.731,79.066,1.808,2.246,NA
"a_y_0_73",25.01,19.82,0.246,0.637,97.91,167.638,1.712,1.797,9.704
"a_y_0_74",25.029,23.892,0.358,0.683,119.692,214.875,1.795,3.571,12.217
"a_y_0_75",25.012,17.877,0.207,0.617,108.211,186.172,1.72,4.913,11.222
"a_y_0_76",25.009,16.023,0.214,0.666,79.382,137.508,1.732,2.278,8.275
"a_y_105_85",27.376,23.36,0.312,0.649,113.828,195.823,1.72,2.382,12.187
"a_y_105_86",25.039,20.588,0.561,0.811,90.086,NA,NA,3.317,9.728
"a_y_105_87",25.02,19.962,0.321,0.708,96.058,163.536,1.702,2.933,9.924
"a_y_105_88",25.02,21.646,0.353,0.703,96.317,169.141,1.756,1.441,10.327
"a_y_140_89",25.009,23.908,0.333,0.657,116.036,197.705,1.704,1.864,12.089
"a_y_140_90",25.043,19.657,0.353,0.726,92.577,164.836,1.781,3.107,10.658
"a_y_140_91",25.015,19.88,0.217,0.588,117.178,196.6,1.678,3.77,11.603
"a_y_140_92",25.021,18.082,0.2,0.601,100.316,162.756,1.622,2.913,9.174
"a_y_210_93",25.014,17.55,0.203,0.602,106.878,160.104,1.498,4.425,10.056
"a_y_210_94",25.027,20.283,0.327,0.708,94.832,155.165,1.636,2.643,NA
"a_y_210_95",25.031,21.764,0.398,0.735,101.164,173.144,1.712,3.148,10.056
"a_y_210_96",25.022,21.377,0.372,0.724,94.115,155.52,1.652,1.594,9.834
"a_y_280_100",24.993,15.482,0.144,0.533,103.542,168.514,1.627,3.32,10.574
"a_y_280_97",25.025,23.245,0.402,0.721,103.866,181.191,1.744,1.923,10.836
"a_y_280_98",25.023,11.496,0.101,0.522,80.287,135.312,1.685,3.077,7.818
"a_y_280_99",25.017,17.372,0.17,0.549,100.622,166.926,1.659,1.902,9.912
"a_y_35_77",25.02,22.773,0.371,0.708,108.265,188.657,1.743,3.118,10.644
"a_y_35_78",25.04,26.062,0.805,0.822,106.971,196.039,1.833,2.385,11.083
"a_y_35_79",25.048,22.152,0.443,0.754,106.896,195.945,1.833,2.385,11.083
"a_y_35_80",25.012,21.168,0.302,0.672,110.291,202.002,1.832,3.656,11.856
"a_y_350_101",25.033,26.941,0.556,0.753,130.887,230.225,1.759,3.772,13.482
"a_y_350_102",25.026,17.18,0.226,0.636,87.656,139.422,1.591,2.584,9.446
"a_y_350_103",25.031,23.677,0.372,0.695,109.452,191.406,1.749,1.973,11.558
"a_y_350_104",25.026,22.139,0.31,0.659,104.669,173.212,1.655,1.561,10.907
"a_y_630_105",25.019,22.635,0.328,0.677,115.812,198.996,1.718,3.782,11.354
"a_y_630_106",25.033,22.972,0.417,0.727,106.955,182.943,1.71,2.916,10.722
"a_y_630_107",25.019,21.393,0.287,0.652,103.883,174.438,1.679,1.973,9.967
"a_y_630_108",25.002,11.374,0.117,0.587,66.162,112.535,1.701,2.707,NA
"a_y_70_81",25.036,21.475,0.389,0.729,93.421,160.367,1.717,1.553,9.381
"a_y_70_82",25.024,20.239,0.358,0.729,92.431,164.571,1.78,2.553,9.67
"a_y_70_83",25.024,21.095,0.323,0.695,104.39,183.238,1.755,3.419,10.488
"a_y_70_84",25.026,20.658,0.353,0.72,94.231,173.673,1.843,2.276,10.382
"e_n_0_37",24.992,4.479,0.06,0.688,27.158,51.691,1.903,2.246,3.675
"e_n_0_38",24.997,7.05,0.114,0.731,35.631,66.881,1.877,1.931,4.628
"e_n_0_39",24.998,2.548,0.037,0.71,19.949,37.385,1.874,2.459,NA
"e_n_0_40",24.988,13.969,0.201,0.691,58.454,116.19,1.988,0.053,7.333
"e_n_105_49",24.988,7.564,0.083,0.614,45.013,89.017,1.978,1.983,5.772
"e_n_105_50",24.999,11.844,0.217,0.752,56.107,108.323,1.931,2.502,6.96
"e_n_105_51",24.995,7.68,0.114,0.708,38.679,83.057,2.147,1.803,NA
"e_n_105_52",24.999,5.32,0.103,0.771,26.13,51.681,1.978,1.741,3.595
"e_n_140_53",24.997,7.904,0.109,0.688,41.917,81.985,1.956,2.126,5.857
"e_n_140_54",25.001,14.378,0.199,0.679,69.468,132.232,1.903,1.971,8.37
"e_n_140_55",24.999,10.784,0.158,0.7,59.54,113.022,1.898,3.673,7.444
"e_n_140_56",24.994,7.622,0.117,0.716,38.719,77.833,2.01,2.244,5.361
"e_n_210_57",25.006,14.018,0.306,0.783,65.442,122.641,1.874,3.361,7.76
"e_n_210_58",24.982,13.361,0.26,0.762,59.04,116.455,1.972,2.027,7.589
"e_n_210_59",25.005,14.32,0.235,0.723,67.931,129.865,1.912,2.818,8.76
"e_n_210_60",24.996,8.005,0.165,0.781,32.632,66.516,2.038,0.936,NA
"e_n_280_61",25.007,8.031,0.104,0.671,46.356,94.718,2.043,2.822,6.426
"e_n_280_62",24.994,11.238,0.163,0.697,62.489,114.559,1.833,3.956,8.08
"e_n_280_63",25.002,14.485,0.169,0.626,82.12,154.642,1.883,3.611,NA
"e_n_280_64",24.999,15.462,0.245,0.713,74.569,144.326,1.935,2.85,9.4
"e_n_35_41",25,13.019,0.186,0.69,64.619,116.825,1.808,2.437,7.441
"e_n_35_42",25.008,7.764,0.115,0.708,32.838,67.192,2.046,0.388,4.618
"e_n_35_43",25,6.141,0.11,0.755,27.399,56.723,2.07,1.272,NA
"e_n_35_44",24.993,6.71,0.098,0.707,27.558,56.606,2.054,0.033,4.157
"e_n_350_65",24.997,16.862,0.224,0.663,100.459,176.515,1.757,5.97,10.32
"e_n_350_66",25.005,15.231,0.247,0.719,72.208,142.003,1.967,2.806,9.328
"e_n_350_67",25.001,16.486,0.222,0.667,77.303,151.165,1.955,1.352,9.668
"e_n_350_68",25.009,17.214,0.23,0.664,87.334,168.79,1.933,2.863,10.61
"e_n_630_69",24.997,14.46,0.155,0.595,85.622,163.02,1.904,3.374,10.668
"e_n_630_70",24.995,15.835,0.186,0.626,87.379,160.402,1.836,3.161,10.135
"e_n_630_71",25.006,16.838,0.23,0.671,84.418,152.298,1.804,2.984,9.022
"e_n_630_72",24.988,17.679,0.232,0.658,90.645,156.771,1.73,2.867,9.267
"e_n_70_45",24.993,9.394,0.131,0.689,46.533,95.193,2.046,1.881,6.751
"e_n_70_46",25.003,7.839,0.112,0.698,38.901,75.402,1.938,1.539,5.381
"e_n_70_47",25.013,21.037,0.271,0.647,99.741,191.087,1.916,1.095,11.241
"e_n_70_48",24.996,9.549,0.163,0.739,40.507,80.479,1.987,0.98,5.59
"e_y_0_1",25.02,20.689,0.358,0.725,97.98,173.197,1.768,3.436,10.737
"e_y_0_2",25.011,20.708,0.334,0.709,96.124,180.354,1.876,2.531,11.367
"e_y_0_3",25.01,21.054,0.258,0.626,100.959,182.416,1.807,1.105,11.732
"e_y_0_4",25.023,19.768,0.411,0.766,89.374,165.96,1.857,3.421,10.486
"e_y_105_13",25.011,23.015,0.328,0.673,106.766,197.329,1.848,1.538,11.508
"e_y_105_14",28.851,19.441,0.305,0.705,95.228,172.043,1.807,3.506,12.724
"e_y_105_15",25.003,18.912,0.295,0.704,88.631,169.443,1.912,2.34,10.376
"e_y_105_16",25.002,21.07,0.382,0.736,97.007,181.266,1.869,2.909,11.091
"e_y_140_17",25.008,15.907,0.324,0.767,70.269,130.732,1.86,2.293,7.915
"e_y_140_18",24.997,17.449,0.254,0.688,79.587,165.036,2.074,1.198,10.418
"e_y_140_19",25.003,22.915,0.37,0.706,108.413,200.046,1.845,3.009,12.162
"e_y_140_20",25.005,19.197,0.274,0.678,96.5,176.805,1.832,3.136,11.334
"e_y_210_21",25.006,17.225,0.317,0.746,73.236,142.798,1.95,1.55,9.364
"e_y_210_22",25.008,15.085,0.274,0.746,68.667,134.047,1.952,2.545,8.514
"e_y_210_23",25.006,19.428,0.371,0.75,84.625,164.609,1.945,1.941,9.909
"e_y_210_24",24.991,15.039,0.274,0.746,69.622,130.373,1.873,2.773,8.191
"e_y_280_25",25.006,16.434,0.195,0.628,90.278,171.66,1.901,3.475,11.007
"e_y_280_26",25.003,14.629,0.245,0.728,72.988,137.935,1.89,3.683,9.284
"e_y_280_27",25.003,16.837,0.22,0.659,86.862,161.126,1.855,3.088,9.716
"e_y_280_28",24.998,13.105,0.15,0.621,65.241,137.053,2.101,0.866,NA
"e_y_35_5",25.008,23.363,0.329,0.67,107.692,205.409,1.907,1.195,12.182
"e_y_35_6",25.005,16.457,0.277,0.726,73.592,143.073,1.944,1.927,9.231
"e_y_35_7",24.991,17.165,0.247,0.685,87.76,163.023,1.858,3.656,10.986
"e_y_35_8",25.016,18.632,0.324,0.731,80.813,153.905,1.904,1.776,9.903
"e_y_350_29",25.006,18.53,0.249,0.663,108.985,189.622,1.74,6.11,10.866
"e_y_350_30",25.006,18.193,0.278,0.699,91.047,167.627,1.841,3.687,10.778
"e_y_350_31",24.997,16.019,0.171,0.593,83.612,161.638,1.933,1.031,9.815
"e_y_350_32",25.005,17.641,0.21,0.628,87.049,164.101,1.885,1.356,9.982
"e_y_630_33",24.993,9.105,0.107,0.638,51.067,97.57,1.911,2.357,6.453
"e_y_630_34",24.998,18.585,0.208,0.605,123.578,214.502,1.736,6.967,12.936
"e_y_630_35",25.002,18.086,0.284,0.707,77.265,137.307,1.777,1.025,8.007
"e_y_630_36",24.993,18.27,0.226,0.638,96.544,174.996,1.813,2.891,10.604
"e_y_70_10",25.012,18.412,0.405,0.779,84.042,154.735,1.841,3.715,9.367
"e_y_70_11",25.018,23.507,0.369,0.699,108.414,204.846,1.889,2.061,12.138
"e_y_70_12",25.002,17.787,0.285,0.712,86.626,164.628,1.9,3.441,10.383
"e_y_70_9",25.009,17.628,0.26,0.691,91.651,167.641,1.829,3.973,10.891
